service_id,date,exception_type
L4 05LP200_004005,20260429,1
L4 05LP200_004005,20260430,1
L4 05LP200_004005,20260501,1
L4 06LP101_004006,20260427,1
L4 06LP101_004006,20260428,1
L4 06LP101_004006,20260429,1
L4 06LP101_004006,20260430,1
L4 06LP101_004006,20260501,1
L5 01FP101_005001,20260501,1
L5 01FP101_005001,20260503,1
L5 01LP101_005001,20260427,1
L5 01LP101_005001,20260428,1
L5 01LP101_005001,20260429,1
L5 01LP101_005001,20260430,1
L5 01LP101_005001,20260501,1
L5 01SP101_005001,20260502,1
L5 02FP102_005002,20260501,1
L5 02FP102_005002,20260503,1
L5 02LP101_005002,20260427,1
L5 02LP101_005002,20260428,1
L5 02LP101_005002,20260429,1
L5 02LP101_005002,20260430,1
L5 02LP101_005002,20260501,1
L5 02SP101_005002,20260502,1
L5 03FC103_005003,20260501,1
L5 03FC103_005003,20260503,1
L5 03LP101_005003,20260427,1
L5 03LP101_005003,20260428,1
L5 03LP101_005003,20260429,1
L5 03LP101_005003,20260430,1
L5 03LP101_005003,20260501,1
L5 03SC104_005003,20260502,1
L5 04FP102_005004,20260501,1
L5 04FP102_005004,20260503,1
L5 04LP101_005004,20260427,1
L5 04LP101_005004,20260428,1
L5 04LP101_005004,20260429,1
L5 04LP101_005004,20260430,1
L5 04LP101_005004,20260501,1
L5 04SP101_005004,20260502,1
L5 05FP101_005005,20260501,1
L5 05FP101_005005,20260503,1
L5 05LP101_005005,20260427,1
L5 05LP101_005005,20260428,1
L5 05LP101_005005,20260429,1
L5 05LP101_005005,20260430,1
L5 05LP101_005005,20260501,1
L5 05SP101_005005,20260502,1
L5 06FP101_005006,20260501,1
L5 06FP101_005006,20260503,1
L5 06LP101_005006,20260427,1
L5 06LP101_005006,20260428,1
L5 06LP101_005006,20260429,1
L5 06LP101_005006,20260430,1
L5 06LP101_005006,20260501,1
L5 06SP101_005006,20260502,1
L5 07LP101_005007,20260427,1
L5 07LP101_005007,20260428,1
L5 07LP101_005007,20260429,1
L5 07LP101_005007,20260430,1
L5 07LP101_005007,20260501,1
L7 01FP104_007001,20260501,1
L7 01FP104_007001,20260503,1
L7 01LP201_007001,20260427,1
L7 01LP201_007001,20260428,1
L7 01LP201_007001,20260429,1
L7 01LP201_007001,20260430,1
L7 01LP201_007001,20260501,1
L7 01SP105_007001,20260502,1
L7 02FP105_007002,20260501,1
L7 02FP105_007002,20260503,1
L7 02LP106_007002,20260427,1
L7 02LP106_007002,20260428,1
L7 02LP106_007002,20260429,1
L7 02LP106_007002,20260430,1
L7 02LP106_007002,20260501,1
L7 02SP103_007002,20260502,1
L7 03LP104_007003,20260427,1
L7 03LP104_007003,20260428,1
L7 03LP104_007003,20260429,1
L7 03LP104_007003,20260430,1
L7 03LP104_007003,20260501,1
L7 04LP102_007004,20260427,1
L7 04LP102_007004,20260428,1
L7 04LP102_007004,20260429,1
L7 04LP102_007004,20260430,1
L7 04LP102_007004,20260501,1
NC101LP200_001005,20260430,1
NC101LP200_001005,20260501,1
NC101SN101_001005,20260502,1
PSA04LP101_304001,20260427,1
PSA04LP101_304001,20260428,1
PSA04LP101_304001,20260429,1
PSA04LP101_304001,20260430,1
PSA04LP101_304001,20260501,1
RE 02LP700_170002,20260427,1
RE 02LP700_170002,20260428,1
RE 02LP700_170002,20260429,1
RE 02LP700_170002,20260430,1
RE 02LP700_170002,20260501,1
RE 06L0102_170006,20260427,1
RE 06L0102_170006,20260428,1
RE 06L0102_170006,20260429,1
RE 06L0102_170006,20260430,1
RE 06L0102_170006,20260501,1
RE 08L0102_170008,20260427,1
RE 08L0102_170008,20260428,1
RE 08L0102_170008,20260429,1
RE 08L0102_170008,20260430,1
RE 08L0102_170008,20260501,1
RE 09L0101_170009,20260427,1
RE 09L0101_170009,20260428,1
RE 09L0101_170009,20260429,1
RE 09L0101_170009,20260430,1
RE 09L0101_170009,20260501,1
RE 10L0101_170010,20260427,1
RE 10L0101_170010,20260428,1
RE 10L0101_170010,20260429,1
RE 10L0101_170010,20260430,1
RE 10L0101_170010,20260501,1
RE 16L0100_170016,20260427,1
RE 16L0100_170016,20260428,1
RE 16L0100_170016,20260429,1
RE 16L0100_170016,20260430,1
RE 16L0100_170016,20260501,1
RE 17L0100_170017,20260427,1
RE 17L0100_170017,20260428,1
RE 17L0100_170017,20260429,1
RE 17L0100_170017,20260430,1
RE 17L0100_170017,20260501,1
REF01LP107_150001,20260427,1
REF01LP107_150001,20260428,1
REF01LP107_150001,20260429,1
REF01LP107_150001,20260430,1
REF01LP107_150001,20260501,1
REF02LP107_150002,20260427,1
REF02LP107_150002,20260428,1
REF02LP107_150002,20260429,1
REF02LP107_150002,20260430,1
REF02LP107_150002,20260501,1
REF03LP109_150003,20260427,1
REF03LP109_150003,20260428,1
REF03LP109_150003,20260429,1
REF03LP109_150003,20260430,1
REF03LP109_150003,20260501,1
REF04LP104_150004,20260427,1
REF04LP104_150004,20260428,1
REF04LP104_150004,20260429,1
REF04LP104_150004,20260430,1
REF04LP104_150004,20260501,1
REF05LP104_150005,20260427,1
REF05LP104_150005,20260428,1
REF05LP104_150005,20260429,1
REF05LP104_150005,20260430,1
REF05LP104_150005,20260501,1
RES02L0100_004901,20260428,1
RES02L0100_013201,20260428,1
RES02L0100_004901,20260429,1
RES02L0100_013201,20260429,1
RES02L0100_004901,20260430,1
RES02L0100_013201,20260430,1
RES02L0100_004901,20260501,1
RES02L0100_013201,20260501,1
RES05L0100_400005,20260428,1
RES05L0100_400005,20260429,1
RES05L0100_400005,20260430,1
RES05L0100_400005,20260501,1
TU201LV 08_500001,20260428,1
TU201LV 08_500001,20260429,1
TU201LV 08_500001,20260430,1
